La_name,La_code,total_deaths,Total,Children,Adults,Elders,Seniors,Total:_All_households,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,Total_population,Person_per_household,No_deprivation,Deprivation_in_one_dimesion,Deprivation_in_two_dimesion,Deprivation_in_three_dimesion,Deprivation_in_four_dimesion,"Managers,_directors_and_senior_officials",Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,"Caring,_leisure_and_other_service_occupations",Sales_and_customer_service_occupations,"Process,_plant_and_machine_operatives",Elementary_occupations,No_qualifications,Level_1_and_entry_level_qualifications,Level_2_qualifications,Apprenticeship,Level_3_qualifications,Level_4_qualifications_or_above,Other_qualifications
Adur,E07000223,87,64544,10911,38394,7617,7622,27678,12584,9872,4194,936,92,64544,2.331960402,29345,23021,9780,2183,215,3723,5308,4167,2802,3800,3033,2223,1791,2394,10333,6065,7949,3325,9055,14784,1440
Amber Valley,E07000032,306,126208,19830,77901,15654,12823,56278,27520,18893,7864,1926,75,126208,2.242581471,61716,42369,17636,4319,168,7601,10343,7351,5407,7651,5289,4157,5415,5795,20668,10975,15009,7032,18723,30265,2388
Arun,E07000224,320,164889,23775,94230,23282,23602,72663,33371,26510,10515,2074,193,164889,2.269229181,75726,60157,23861,4706,438,9668,10443,8438,6751,9140,8372,5310,5463,7732,27534,16142,21323,9101,23983,36839,4630
Ashfield,E07000170,378,126301,22043,79375,13320,11563,54507,23517,18722,9613,2532,123,126301,2.317151925,54492,43382,22275,5867,285,5621,8056,6350,5557,7696,6205,4826,5605,7374,24281,12299,16138,6949,18393,22185,2602
Ashford,E07000105,347,132747,24483,82267,13892,12105,53583,26784,18085,7081,1528,105,132747,2.47740888,66355,44804,17543,3785,260,9116,11645,8174,5728,7271,5627,4446,4311,5917,18829,12098,16412,5952,18232,32148,3095
Babergh,E07000200,204,92343,13898,53903,12785,11757,40199,20575,13976,4678,933,37,92343,2.297146695,47264,32105,10746,2143,85,6354,7308,5721,4108,5648,3840,2805,2645,3599,13491,8642,12142,4783,13410,22817,2092
Barking and Dagenham,E09000002,513,218869,53811,146026,10724,8308,73902,27781,27396,14090,4348,287,218869,2.961611323,82277,81136,41729,12877,850,7590,14827,9013,8455,10709,10114,6810,8628,14044,36796,16752,20367,6260,21819,53791,5961
Barnet,E09000003,867,389343,75162,258077,29807,26297,148921,73825,49136,19877,5415,668,389343,2.614426441,193010,128462,51967,14157,1746,31153,49780,25059,16010,14226,13540,9537,8122,13133,47762,21302,30687,9630,38541,151642,9790
Barnsley,E08000016,717,244575,42179,154797,26463,21136,108053,46238,36682,19079,5815,239,244575,2.263472555,104658,83029,43185,13162,541,11211,15457,12012,9789,13950,11079,9579,11496,14883,50329,21589,28977,13193,33652,46798,5252
Basildon,E07000066,555,187571,36701,118973,17148,14749,76363,35257,26222,11652,3011,221,187571,2.456307374,86602,64409,28621,7396,543,10809,15235,11403,10565,9889,7617,6109,6437,8951,30827,19440,24489,7966,25316,36541,4084
Basingstoke and Deane,E07000084,287,185152,33329,119811,17458,14554,76644,42182,24524,8202,1650,86,185152,2.415740306,101901,59244,19814,3986,208,13815,21005,14271,9431,9207,8022,5917,5301,8103,21302,15914,21571,7405,27027,52806,3782
Bassetlaw,E07000171,214,117804,19147,72576,14079,12002,51461,24096,17652,7728,1912,73,117804,2.289189872,55160,40409,17691,4377,167,6809,7894,5873,4528,6462,5599,3886,6000,6723,21013,10651,14392,6514,16961,24848,2988
Bath and North East Somerset,E06000022,265,193408,29712,126174,19267,18255,79250,42870,25495,8952,1819,114,193408,2.440479495,104623,62220,21847,4439,278,12986,21445,11744,7710,8730,7148,4815,4000,7002,19805,11972,19147,7608,35318,64251,3517
Bedford,E06000055,479,185231,34880,119327,16716,14308,74950,38704,24497,9293,2224,232,185231,2.471394263,95653,60542,22967,5496,573,11735,18078,12055,8032,8719,7777,5865,6044,10105,24813,15366,19977,8263,23976,51411,4312
Bexley,E09000004,579,246472,47665,157915,21194,19698,95299,46238,32625,13232,2998,206,246472,2.58630206,119585,84378,34222,7754,533,14374,23112,15904,15334,12162,9787,7405,7277,9540,35582,21413,28535,10225,32511,61837,5722
Birmingham,E08000025,2716,1144918,239350,755081,79929,70558,423456,171117,146765,78859,25045,1670,1144918,2.703747261,462657,396815,213215,67715,4515,40367,90497,48450,39753,36325,42257,31868,37676,54278,212198,90079,111212,32425,152046,265806,25857
Blaby,E07000129,208,102925,18071,63782,11148,9924,42575,22832,13991,4903,823,26,102925,2.417498532,55196,33823,11853,1990,63,6624,9864,7117,5357,6149,4331,3345,3372,4272,14463,8373,11882,5944,15427,25547,2031
Blackburn with Darwen,E06000008,416,154738,32951,99384,12883,9520,58767,24187,19982,10718,3692,188,154738,2.633076386,63686,52614,28221,9721,495,5910,10237,6623,6145,6664,6833,5712,6394,6998,28923,12968,16574,6550,18823,32054,3616
Blackpool,E06000009,382,141036,23129,88716,15541,13650,64789,24769,22750,12785,4183,302,141036,2.176851009,53918,49523,27831,9106,657,6150,7378,5860,6540,6381,8249,5332,4680,6975,28575,13677,17470,7889,19382,26177,3170
Bolsover,E07000033,222,80276,13068,50995,8835,7378,35261,15065,12160,6318,1672,46,80276,2.276622898,34297,27684,14384,3807,105,3829,4965,3873,3367,4621,4279,2970,3850,5551,16018,7697,10066,4516,11771,14406,1804
Bolton,E08000001,680,295961,59709,185530,28061,22661,118789,51290,40539,20373,6244,343,295961,2.491484902,127788,101002,50759,15557,855,13209,20912,14775,12080,12536,11859,11121,11365,13774,52451,24792,32352,14327,38190,63678,6497
Boston,E07000136,157,70504,12104,43992,7637,6771,29404,12014,11351,4775,1181,83,70504,2.397769011,28807,27217,11449,2832,199,2824,3550,2443,2519,3671,3295,2481,6210,5950,15921,7317,8274,4241,8157,10963,2711
"Bournemouth, Christchurch and Poole",E06000058,870,400198,61432,252340,43414,43012,173842,83966,59166,24231,5889,590,400198,2.302078899,193296,136205,55782,13557,1358,24102,35829,23461,16210,19924,18952,14147,10830,15984,53317,33102,47335,20187,63771,107437,9759
Bracknell Forest,E06000036,157,124607,23059,82673,10554,8321,50248,28327,15641,5132,1069,79,124607,2.479839994,70246,38787,12727,2651,196,10078,13638,10657,6586,6563,5786,3900,2930,4971,13183,10581,14929,5171,17874,35578,2617
Bradford,E08000032,1162,546412,117002,346408,46497,36505,209867,90141,72227,35313,11416,770,546412,2.603610858,234692,188051,91941,29723,2005,22056,37270,24847,20998,22863,22470,18344,20701,24983,101122,46051,57458,22777,66275,115663,12228
Braintree,E07000067,402,155272,26812,96709,17402,14349,64984,32486,22192,8442,1768,96,155272,2.389388157,77622,53025,20171,4224,229,10666,12130,10216,7828,9597,7072,5087,5297,6890,23238,15569,21107,7466,23081,32674,3431
Breckland,E07000143,295,141474,22176,83997,18484,16817,60361,27457,22262,8786,1773,83,141474,2.343798148,64354,52178,20593,4156,195,8001,8458,7511,5726,8693,6886,4651,6772,7687,26228,14196,18382,8066,19911,27207,3862
Brent,E09000005,792,339814,60674,239585,21908,17647,118612,47376,43300,21017,6328,591,339814,2.864920919,135728,124051,60212,18129,1693,18377,30776,18856,12786,15470,13078,11939,12545,20727,59770,24296,26148,9529,34338,109998,11064
Brentwood,E07000068,224,77048,13318,48195,7764,7771,32342,17935,10172,3465,716,54,77048,2.382289283,42726,24233,8255,1706,129,6983,8875,5992,4541,3233,2475,1707,1477,1983,9482,6071,9668,2966,10790,22248,1643
Brighton and Hove,E06000043,405,277103,38981,199146,21187,17789,121401,58122,40060,17461,5195,563,277103,2.282542977,132666,91439,39855,11858,1285,19517,35643,22835,9977,10576,11111,8400,4906,9408,29215,16545,25067,8052,46359,104790,5339
