La_name,La_code,Total:_All_households,Household_is_not_deprived_in_any_dimension,Household_is_deprived_in_one_dimension,Household_is_deprived_in_two_dimensions,Household_is_deprived_in_three_dimensions,Household_is_deprived_in_four_dimensions,Total_population,Person_per_household,No_deprivation,Deprivation_in_one_dimesion,Deprivation_in_two_dimesion,Deprivation_in_three_dimesion,Deprivation_in_four_dimesion
Hartlepool,E06000001,40930,17262,13735,7570,2278,85,92337,2.255973613,38943,30986,17078,5139,192
Middlesbrough,E06000002,60262,25407,20394,10816,3517,128,143926,2.388337593,60680,48708,25832,8400,306
Redcar and Cleveland,E06000003,61638,27192,21064,10307,2969,106,136533,2.215078361,60232,46658,22831,6577,235
Stockton-on-Tees,E06000004,83757,40497,27187,12617,3324,132,196595,2.347206801,95055,63814,29615,7802,310
Darlington,E06000005,48917,23775,16384,6944,1738,76,107801,2.203753296,52394,36106,15303,3830,167
County Durham,E06000047,234761,104412,79207,39903,10931,308,522071,2.223840416,232196,176144,88738,24309,685
Northumberland,E06000057,146921,71280,49905,20510,5035,191,320568,2.181907284,155526,108888,44751,10986,417
Newcastle upon Tyne,E08000021,122797,56768,40169,19418,6149,293,300125,2.444074367,138745,98176,47459,15029,716
North Tyneside,E08000022,96236,47576,31265,13730,3546,119,208968,2.171411946,103307,67889,29813,7700,258
South Tyneside,E08000023,68287,29586,23302,11971,3323,105,147777,2.164057581,64026,50427,25906,7191,227
Sunderland,E08000024,122177,50665,42435,22163,6645,269,274172,2.244055755,113695,95227,49735,14912,604
Gateshead,E08000037,88999,39877,29733,14850,4376,163,196151,2.203968584,87888,65531,32729,9645,359
Halton,E06000006,55949,24183,18732,9843,3088,103,128479,2.296359184,55533,43015,22603,7091,237
Warrington,E06000007,90538,46997,29036,11560,2824,121,210977,2.330259118,109515,67661,26938,6581,282
Blackburn with Darwen,E06000008,58767,24187,19982,10718,3692,188,154738,2.633076386,63686,52614,28221,9721,495
Blackpool,E06000009,64789,24769,22750,12785,4183,302,141036,2.176851009,53918,49523,27831,9106,657
Cheshire East,E06000049,174856,95796,55229,19584,4086,161,398776,2.280596605,218472,125955,44663,9319,367
Cheshire West and Chester,E06000050,155156,80756,49835,19598,4721,246,357149,2.301870376,185890,114714,45112,10867,566
Cumberland,E06000063,125426,60387,42218,17883,4775,163,273255,2.178615279,131560,91977,38960,10403,355
Westmorland and Furness,E06000064,103529,53613,34569,12511,2722,114,226591,2.188671773,117341,75660,27382,5958,250
Burnley,E07000117,39872,16305,13669,7316,2440,142,94646,2.373745987,38704,32447,17366,5792,337
Chorley,E07000118,50132,26340,16325,6015,1406,46,117731,2.348420171,61857,38338,14126,3302,108
Fylde,E07000119,37604,19108,12754,4648,1030,64,81373,2.163945325,41349,27599,10058,2229,138
Hyndburn,E07000120,34790,14766,11847,6092,1985,100,82239,2.363868928,34905,28005,14401,4692,236
Lancaster,E07000121,59979,29026,20314,8383,2132,124,142932,2.383034062,69170,48409,19977,5081,295
Pendle,E07000122,38066,16180,13333,6450,1999,104,95757,2.515551936,40702,33540,16225,5029,262
Preston,E07000123,59607,27785,20032,8931,2700,159,147838,2.480212056,68913,49684,22151,6697,394
Ribble Valley,E07000124,26747,15673,8156,2455,436,27,61558,2.301491756,36071,18771,5650,1003,62
Rossendale,E07000125,30561,14666,10071,4496,1270,58,70871,2.319001342,34010,23355,10426,2945,135
South Ribble,E07000126,48588,25461,16043,5871,1158,55,111035,2.285235037,58184,36662,13417,2646,126
West Lancashire,E07000127,48533,23639,16442,6818,1567,67,117430,2.419590794,57197,39783,16497,3791,162
Wyre,E07000128,50767,23366,17707,7793,1813,88,111945,2.205074162,51524,39045,17184,3998,194
Bolton,E08000001,118789,51290,40539,20373,6244,343,295961,2.491484902,127788,101002,50759,15557,855
Bury,E08000002,80695,38309,27078,11875,3263,170,193850,2.402255406,92028,65048,28527,7839,408
Manchester,E08000003,214729,93533,70524,36937,12983,752,551937,2.570388723,240416,181274,94942,33371,1933
Oldham,E08000004,93137,38130,32275,16920,5520,292,242088,2.599267745,99110,83891,43980,14348,759
Rochdale,E08000005,90223,38481,30724,15621,5084,313,223773,2.48022123,95441,76202,38744,12609,776
Salford,E08000006,115116,53457,37170,18229,5963,297,269921,2.344773967,125345,87155,42743,13982,696
Stockport,E08000007,126648,64926,40720,16441,4294,267,294776,2.327521951,151117,94777,38267,9994,621
Tameside,E08000008,99527,42979,34038,17056,5142,312,231069,2.321671506,99783,79025,39598,11938,724
Trafford,E08000009,96269,51885,29699,11666,2883,136,235050,2.441595945,126682,72513,28484,7039,332
Wigan,E08000010,143105,66618,46951,22904,6380,252,329330,2.301317215,153309,108049,52709,14682,580
