La_name,La_code,"Managers,_directors_and_senior_officials",Professional_occupations,Associate_professional_and_technical_occupations,Administrative_and_secretarial_occupations,Skilled_trades_occupations,"Caring,_leisure_and_other_service_occupations",Sales_and_customer_service_occupations,"Process,_plant_and_machine_operatives",Elementary_occupations
Hartlepool,E06000001,3337,5771,4438,3349,4679,4269,3364,3588,4051
Middlesbrough,E06000002,4365,8748,5971,4753,5825,7020,4796,5453,6920
Redcar and Cleveland,E06000003,4770,8320,6510,4915,6739,7158,4461,5306,6103
Stockton-on-Tees,E06000004,8934,16471,10765,8296,8787,8512,6708,6945,8757
Darlington,E06000005,5210,8369,5896,4904,5002,4743,4350,3824,5806
County Durham,E06000047,22345,36146,26301,20881,25906,22426,18164,20402,23607
Northumberland,E06000057,17350,24517,16816,13297,16820,15093,11379,9897,12997
Newcastle upon Tyne,E08000021,11233,29554,14211,10481,9840,10613,10124,7611,12108
North Tyneside,E08000022,9892,21580,13184,10626,8642,8570,8824,5788,8127
South Tyneside,E08000023,5550,10080,7674,6718,6938,6614,5786,5591,6182
Sunderland,E08000024,10348,17500,12977,12390,12116,11776,12543,11563,12827
Gateshead,E08000037,8414,16364,10827,8825,8505,8494,8122,6880,8983
Halton,E06000006,5847,8666,7178,5784,5599,5419,5709,5842,7242
Warrington,E06000007,13556,20664,13816,9883,8645,8052,7779,7093,11173
Blackburn with Darwen,E06000008,5910,10237,6623,6145,6664,6833,5712,6394,6998
Blackpool,E06000009,6150,7378,5860,6540,6381,8249,5332,4680,6975
Cheshire East,E06000049,31802,40932,26039,16854,17027,15093,12123,11663,16884
Cheshire West and Chester,E06000050,23645,34393,21968,14779,15664,14239,12419,11539,15816
Cumberland,E06000063,12947,19878,14049,10577,18087,12547,9385,13425,14350
Westmorland and Furness,E06000064,13653,18411,11856,8330,17357,10207,7815,7357,11305
Burnley,E07000117,3627,5488,4189,3432,4724,4577,3304,4059,5567
Chorley,E07000118,8012,11773,7815,5369,5763,5113,3510,3767,4729
Fylde,E07000119,5180,7619,4848,3584,3473,3260,2280,1940,2630
Hyndburn,E07000120,3315,4908,3884,3235,4625,4204,3011,3822,3659
Lancaster,E07000121,6505,12021,7168,4829,7269,7110,4299,4409,5815
Pendle,E07000122,4050,5605,4016,3107,5312,3955,3395,4520,4582
Preston,E07000123,6068,12395,7367,6490,5934,6262,5045,5452,7653
Ribble Valley,E07000124,5104,6769,3934,2632,3730,2420,1493,1652,1950
Rossendale,E07000125,4293,6216,4302,2728,3950,3383,2411,2427,2668
South Ribble,E07000126,6531,10749,7478,5970,6064,4844,3767,3762,4185
West Lancashire,E07000127,7033,9834,6131,4800,5421,4878,3394,4291,5269
Wyre,E07000128,5958,8517,5579,5662,5898,4909,3147,3103,3778
Bolton,E08000001,13209,20912,14775,12080,12536,11859,11121,11365,13774
